m_p,rho,cov_M
0.0,0.0,97.16128421683231
0.0,0.2,97.16128421683231
0.0,0.5,96.78835914926445
0.0,0.8,15.334124231810101
0.5,0.0,97.16128421683231
0.5,0.2,97.16128421683231
0.5,0.5,95.97185830301416
0.5,0.8,6.601528944355077
1.0,0.0,97.16128421683231
1.0,0.2,97.16128421683231
1.0,0.5,93.93514308935383
1.0,0.8,1.950473669073942
1.5,0.0,97.16128421683231
1.5,0.2,97.15617647437821
1.5,0.5,90.59419298179172
1.5,0.8,0.2865551248437984
