anchor,band,q50_m,q95_m,beta_vs_ground_q50,beta_vs_ground_q95
ground vehicle-grade (UrbanNav HK canyons),0 m (street),7.17481762994518,10.60857303493511,1.0,1.0
aerial low (AGZ urban MAV),5-15 m,3.128699152840336,7.220897353200084,0.4360667147527541,0.6806662243282801
aerial high open (MARS airport ublox),80-130 m,6.555040199352814,8.3480176604968,0.9136176746840741,0.786912399340225
aerial high built (MARS island ublox),80-130 m,4.07681246487852,5.351802211432442,0.5682113016870743,0.5044789901345273
