rho,K,Reported_pct,Realized_pct,Best_pct,ReportingGap_pp,Regret_pp,n_pool,Realized_spread_pp
0.0,30,99.99999999999996,83.27430822868222,97.16128421683231,16.725691771317738,13.88697598815008,20,4.7255834824456775
0.2,30,99.99999999999996,87.08101222401949,97.16128421683231,12.91898777598047,10.080271992812813,20,4.620137682448232
0.5,30,99.68774212156534,80.6078299540604,93.93514308935383,19.079912167504933,13.327313135293434,20,0.3929817958537884
0.8,30,11.166433177945965,0.8184096581700203,1.950473669073942,10.348023519775944,1.1320640109039213,12,0.0
0.5,1,27.411011473425937,15.859502953347528,16.66591825422644,11.551508520078405,0.806415300878912,1,0.0
0.5,5,75.54756278597846,51.138497258697456,57.26738464106353,24.409065527280998,6.128887382366066,1,0.0
0.5,10,92.87609299014957,71.00328521231691,79.61061404030491,21.872807777832662,8.607328827987997,2,0.0
0.5,20,98.22917329278297,78.14047959954654,91.27268334352149,20.088693693236433,13.132203743974955,20,0.002739544933947049
0.5,50,99.96557186011304,85.01832383509898,96.26648672943104,14.947248025014064,11.248162894332062,20,0.8008962774197051
0.5,75,99.96557186011304,84.46449254850509,96.88111565907795,15.501079311607942,12.416623110572852,20,0.763603767128561
0.5,100,99.96557186011304,84.46449254850509,96.99021117433361,15.501079311607942,12.525718625828517,20,0.763603767128561
0.5,150,99.96557186011304,84.46449254850509,96.99021117433361,15.501079311607942,12.525718625828517,20,0.763603767128561
0.5,300,99.96557186011304,84.46449254850509,96.99021117433361,15.501079311607942,12.525718625828517,20,0.763603767128561
0.5,605,99.96557186011304,92.77381998476208,96.99021117433361,7.191751875350949,4.2163911895715245,20,0.5780316483053151
