weight,rho,ablation,K,coverage_pct
pop,0.2,sigma_Low,30,87.56100610460244
pop,0.2,sigma_Low,50,88.16115692188545
pop,0.2,sigma_Low,75,88.17940056764184
pop,0.2,sigma_Low,100,88.17940056764184
pop,0.2,sigma_Low,150,88.17940056764184
pop,0.2,sigma_Low,300,88.17940056764184
pop,0.2,sigma_Low,605,88.17940056764184
pop,0.5,A0,1,32.241401854759005
pop,0.5,A0,5,83.36878645811703
pop,0.5,A0,10,95.69983519285145
pop,0.5,A0,20,99.3364079749731
pop,0.5,A0,30,99.97127787096882
pop,0.5,A0,50,99.99170482830684
pop,0.5,A0,75,99.99170482830684
pop,0.5,A0,100,99.99170482830684
pop,0.5,A0,150,99.99170482830684
pop,0.5,A0,300,99.99170482830684
pop,0.5,A0,605,99.99170482830684
pop,0.5,Eucl,1,27.411011473425937
pop,0.5,Eucl,5,75.54756278597846
pop,0.5,Eucl,10,92.87609299014956
pop,0.5,Eucl,20,98.22917329278297
pop,0.5,Eucl,30,99.68774212156532
pop,0.5,Eucl,50,99.96557186011304
pop,0.5,Eucl,75,99.96557186011304
pop,0.5,Eucl,100,99.96557186011304
pop,0.5,Eucl,150,99.96557186011304
pop,0.5,Eucl,300,99.96557186011304
pop,0.5,Eucl,605,99.96557186011304
pop,0.5,energy,1,25.525212665688628
pop,0.5,energy,5,72.30232510541926
pop,0.5,energy,10,91.42982291958762
pop,0.5,energy,20,97.86344422409977
pop,0.5,energy,30,99.49354263383114
pop,0.5,energy,50,99.94706718317836
pop,0.5,energy,75,99.94706718317836
pop,0.5,energy,100,99.94706718317836
pop,0.5,energy,150,99.94706718317836
pop,0.5,energy,300,99.94706718317836
pop,0.5,energy,605,99.94706718317836
pop,0.5,sigma_High,1,18.557006183937617
pop,0.5,sigma_High,5,59.07500328426836
pop,0.5,sigma_High,10,80.99372127182073
pop,0.5,sigma_High,20,92.46103730002898
pop,0.5,sigma_High,30,95.13320015364582
pop,0.5,sigma_High,50,97.57061375188228
pop,0.5,sigma_High,75,98.31572502109803
pop,0.5,sigma_High,100,98.54186979509133
pop,0.5,sigma_High,150,98.57930492100682
pop,0.5,sigma_High,300,98.57930492100682
pop,0.5,sigma_High,605,98.57930492100682
pop,0.5,sigma_Medium,1,16.66591825422644
pop,0.5,sigma_Medium,5,57.26738464106353
pop,0.5,sigma_Medium,10,79.61061404030491
pop,0.5,sigma_Medium,20,91.27268334352149
pop,0.5,sigma_Medium,30,93.93514308935383
pop,0.5,sigma_Medium,50,96.26648672943104
pop,0.5,sigma_Medium,75,96.8810713906716
pop,0.5,sigma_Medium,100,96.99021117433361
pop,0.5,sigma_Medium,150,96.99021117433361
pop,0.5,sigma_Medium,300,96.99021117433361
pop,0.5,sigma_Medium,605,96.99021117433361
pop,0.5,sigma_Low,1,4.987930181825725
pop,0.5,sigma_Low,5,20.20021099282908
pop,0.5,sigma_Low,10,34.483080921460505
pop,0.5,sigma_Low,20,53.31124113100981
pop,0.5,sigma_Low,30,64.79320922108133
pop,0.5,sigma_Low,50,75.4916240930609
pop,0.5,sigma_Low,75,80.472697198426
pop,0.5,sigma_Low,100,82.37779212629626
pop,0.5,sigma_Low,150,83.31072558194039
pop,0.5,sigma_Low,300,83.3841857876296
pop,0.5,sigma_Low,605,83.3841857876296
pop,0.8,A0,1,8.820999008931805
pop,0.8,A0,5,31.33500087851794
pop,0.8,A0,10,52.74900355071444
pop,0.8,A0,20,77.1534429613038
pop,0.8,A0,30,87.82766261377107
pop,0.8,A0,50,95.72045832163357
pop,0.8,A0,75,98.54564019477029
pop,0.8,A0,100,99.32187698593837
pop,0.8,A0,150,99.47237135808237
pop,0.8,A0,300,99.47237135808237
pop,0.8,A0,605,99.47237135808237
pop,0.8,Eucl,1,0.502133161762313
pop,0.8,Eucl,5,2.3971554447432575
pop,0.8,Eucl,10,4.432237636600814
pop,0.8,Eucl,20,8.006678291584928
pop,0.8,Eucl,30,11.166433177945965
pop,0.8,Eucl,50,16.317007129593115
pop,0.8,Eucl,75,21.254318684607064
pop,0.8,Eucl,100,24.749446198760094
pop,0.8,Eucl,150,28.706463494840516
pop,0.8,Eucl,300,31.83499170485093
pop,0.8,Eucl,605,31.959913097962797
pop,0.8,energy,1,0.502133161762313
pop,0.8,energy,5,2.3971554447432575
pop,0.8,energy,10,4.432237636600814
pop,0.8,energy,20,8.006678291584928
pop,0.8,energy,30,11.166433177945965
pop,0.8,energy,50,16.317007129593115
pop,0.8,energy,75,21.254318684607064
pop,0.8,energy,100,24.749446198760094
pop,0.8,energy,150,28.706463494840516
pop,0.8,energy,300,31.83499170485093
pop,0.8,energy,605,31.959913097962797
pop,0.8,sigma_High,1,0.11953849061921648
pop,0.8,sigma_High,5,0.4776174124642982
pop,0.8,sigma_High,10,0.8794284847282993
pop,0.8,sigma_High,20,1.4922851483098978
pop,0.8,sigma_High,30,1.9807233970256417
pop,0.8,sigma_High,50,2.7916477270206785
pop,0.8,sigma_High,75,3.5385285913443583
pop,0.8,sigma_High,100,4.095098987281218
pop,0.8,sigma_High,150,4.821474487146901
pop,0.8,sigma_High,300,5.474082559081087
pop,0.8,sigma_High,605,5.474082559081087
pop,0.8,sigma_Medium,1,0.11953849061921648
pop,0.8,sigma_Medium,5,0.47066706254439417
pop,0.8,sigma_Medium,10,0.8720578339127334
pop,0.8,sigma_Medium,20,1.4755670012474122
pop,0.8,sigma_Medium,30,1.950473669073942
pop,0.8,sigma_Medium,50,2.731471485616416
pop,0.8,sigma_Medium,75,3.45334516632692
pop,0.8,sigma_Medium,100,3.977629122930152
pop,0.8,sigma_Medium,150,4.6439067236957765
pop,0.8,sigma_Medium,300,5.225673921855484
pop,0.8,sigma_Medium,605,5.225673921855484
pop,0.8,sigma_Low,1,0.08524679782829941
pop,0.8,sigma_Low,5,0.3382392056713029
pop,0.8,sigma_Low,10,0.5436051327105687
pop,0.8,sigma_Low,20,0.8598968272000783
pop,0.8,sigma_Low,30,1.1139050054901847
pop,0.8,sigma_Low,50,1.4947362178429155
pop,0.8,sigma_Low,75,1.8245871544688144
pop,0.8,sigma_Low,100,2.061760144766934
pop,0.8,sigma_Low,150,2.3622690859664526
pop,0.8,sigma_Low,300,2.4677161149176223
pop,0.8,sigma_Low,605,2.4677161149176223
