regime,rho,kperp,blocked_pct,overrange_pct,terminal_pct,covered_pct
Low,0.0,1.0,23.67978457796491,9.562164214416503,1.3393444673903485,65.41870674022823
Low,0.2,1.0,23.67978457796491,19.658939720129105,2.2800860646750984,54.38118963723089
Low,0.5,1.0,23.67978457796491,48.9084559019509,3.159122194022696,24.2526373260615
Low,0.8,1.0,23.67978457796491,75.71165680250546,0.3559922118608276,0.25256640766878824
Medium,0.0,1.0,3.958335902993474,0.001346551875781935,0.001730075470359544,96.0385874696604
Medium,0.2,1.0,3.958335902993474,0.12907068182291975,0.01054977212348607,95.90204364306013
Medium,0.5,1.0,3.958335902993474,2.8604581987746758,6.638814283081358,86.54239161515049
Medium,0.8,1.0,3.958335902993474,92.32054381799534,2.517814631678139,1.2033056473330397
High,0.0,1.0,0.029842525893868592,0.0,0.06248563242484353,99.9076718416813
High,0.2,1.0,0.029842525893868592,0.0,0.19348191824465613,99.77667555586147
High,0.5,1.0,0.029842525893868592,0.052932816821590414,1.3977612997330855,98.51946335755144
High,0.8,1.0,0.029842525893868592,70.80154695952398,23.80572240459556,5.362888109986592
