weight,rho,ablation,K,coverage_pct
uniform,0.5,Eucl,10,83.91530253086765
uniform,0.5,Eucl,20,95.40756466841724
uniform,0.5,Eucl,30,98.98877032236437
uniform,0.5,Eucl,50,99.89943572266607
uniform,0.5,Eucl,75,99.89943572266607
uniform,0.5,Eucl,100,99.89943572266607
uniform,0.5,Eucl,150,99.89943572266607
uniform,0.5,Eucl,300,99.89943572266607
uniform,0.5,Eucl,605,99.89943572266607
uniform,0.5,energy,1,16.8724509749148
uniform,0.5,energy,5,57.52276663500754
uniform,0.5,energy,10,80.5072909101067
uniform,0.5,energy,20,94.55835521537516
uniform,0.5,energy,30,98.29599418961953
uniform,0.5,energy,50,99.86032739259177
uniform,0.5,energy,75,99.86032739259177
uniform,0.5,energy,100,99.86032739259177
uniform,0.5,energy,150,99.86032739259177
uniform,0.5,energy,300,99.86032739259177
uniform,0.5,energy,605,99.86032739259177
uniform,0.5,sigma_High,1,11.922453768366948
uniform,0.5,sigma_High,5,45.991396167383655
uniform,0.5,sigma_High,10,68.86976926085256
uniform,0.5,sigma_High,20,87.67528912229733
uniform,0.5,sigma_High,30,92.95491368232862
uniform,0.5,sigma_High,50,97.18978713894631
uniform,0.5,sigma_High,75,98.24012514665624
uniform,0.5,sigma_High,100,98.54740488295435
uniform,0.5,sigma_High,150,98.63679535169562
uniform,0.5,sigma_High,300,98.63679535169562
uniform,0.5,sigma_High,605,98.63679535169562
uniform,0.5,sigma_Medium,1,11.380524051622995
uniform,0.5,sigma_Medium,5,44.79021174367283
uniform,0.5,sigma_Medium,10,67.72445388010503
uniform,0.5,sigma_Medium,20,86.74227610481033
uniform,0.5,sigma_Medium,30,91.99955304765629
uniform,0.5,sigma_Medium,50,96.25118721716296
uniform,0.5,sigma_Medium,75,97.17861333035366
uniform,0.5,sigma_Medium,100,97.36298117213252
uniform,0.5,sigma_Medium,150,97.36298117213252
uniform,0.5,sigma_Medium,300,97.36298117213252
uniform,0.5,sigma_Medium,605,97.36298117213252
uniform,0.5,sigma_Low,1,3.832616347281971
uniform,0.5,sigma_Low,5,16.7774736018772
uniform,0.5,sigma_Low,10,30.225152243142077
uniform,0.5,sigma_Low,20,48.98597687021621
uniform,0.5,sigma_Low,30,61.79674842169953
uniform,0.5,sigma_Low,50,74.47343427007095
uniform,0.5,sigma_Low,75,81.56321582211297
uniform,0.5,sigma_Low,100,84.66394770657578
uniform,0.5,sigma_Low,150,86.01039164199118
uniform,0.5,sigma_Low,300,86.1668249622884
uniform,0.5,sigma_Low,605,86.1668249622884
uniform,0.8,A0,1,5.698642382255992
uniform,0.8,A0,5,21.805687468573662
uniform,0.8,A0,10,39.03570031845354
uniform,0.8,A0,20,62.204592435331584
uniform,0.8,A0,30,76.5350019554165
uniform,0.8,A0,50,89.60835800882731
uniform,0.8,A0,75,95.80423487345662
uniform,0.8,A0,100,97.95519302754344
uniform,0.8,A0,150,98.4803620313984
uniform,0.8,A0,300,98.4803620313984
