beta_route,beta_term,rho,blocked_pct,overrange_pct,terminal_pct,covered_pct
0.25,0.25,0.0,0.0,0.0,0.0,99.99999999999999
0.25,0.25,0.2,0.0,0.0,0.0,99.99999999999999
0.25,0.25,0.5,0.0,0.052932816821590414,0.0,99.94706718317842
0.25,0.25,0.8,0.0,68.0400869020372,1.2776332373519883,30.682279860610812
0.25,0.5,0.0,0.0,0.0,0.0,99.99999999999999
0.25,0.5,0.2,0.0,0.0,0.0,99.99999999999999
0.25,0.5,0.5,0.0,0.052932816821590414,0.01694833023007548,99.93011885294834
0.25,0.5,0.8,0.0,68.0400869020372,10.61754331464466,21.342369783318144
0.25,0.75,0.0,0.0,0.0,0.0,100.00000000000001
0.25,0.75,0.2,0.0,0.0,0.020427896341014985,99.979572103659
0.25,0.75,0.5,0.0,0.052932816821590414,0.31614559118391033,99.6309215919945
0.25,0.75,0.8,0.0,68.0400869020372,21.134152169804118,10.825760928158683
0.25,1.0,0.0,0.0,0.0,0.07199058707579138,99.92800941292421
0.25,1.0,0.2,0.0,0.0,0.188042740045855,99.81195725995416
0.25,1.0,0.5,0.0,0.052932816821590414,1.3677622621715744,98.57930492100685
0.25,1.0,0.8,0.0,68.0400869020372,26.47579906368819,5.484114034274611
0.5,0.25,0.0,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.25,0.2,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.25,0.5,0.027741040426920324,0.052932816821590414,0.0,99.91932614275149
0.5,0.25,0.8,0.027741040426920324,68.12299326881545,1.241054043256361,30.608211647501278
0.5,0.5,0.0,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.5,0.2,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.5,0.5,0.027741040426920324,0.052932816821590414,0.002053173680454696,99.91727296907105
0.5,0.5,0.8,0.027741040426920324,68.12299326881545,10.543917678974463,21.30534801178317
0.5,0.75,0.0,0.027741040426920324,0.0,0.0,99.97225895957308
0.5,0.75,0.2,0.027741040426920324,0.0,0.0017977430890144448,99.97046121648407
0.5,0.75,0.5,0.027741040426920324,0.052932816821590414,0.296236281021565,99.62308986172992
0.5,0.75,0.8,0.027741040426920324,68.12299326881545,21.042842708877135,10.806422981880498
0.5,1.0,0.0,0.027741040426920324,0.0,0.054539258220513434,99.9177197013526
0.5,1.0,0.2,0.027741040426920324,0.0,0.1603016996189347,99.81195725995416
0.5,1.0,0.5,0.027741040426920324,0.052932816821590414,1.340021221744654,98.57930492100685
0.5,1.0,0.8,0.027741040426920324,68.12299326881545,26.375183131676543,5.474082559081087
0.75,0.25,0.0,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.25,0.2,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.25,0.5,0.5964052131346421,0.05113507373257597,0.0,99.35245971313279
0.75,0.25,0.8,0.5964052131346421,68.88509639799128,0.8491306385407533,29.66936775033333
0.75,0.5,0.0,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.5,0.2,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.5,0.5,0.5964052131346421,0.05113507373257597,0.0,99.35245971313279
0.75,0.5,0.8,0.5964052131346421,68.88509639799128,9.465947259016158,21.052551129857925
0.75,0.75,0.0,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.75,0.2,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,0.75,0.5,0.5964052131346421,0.05113507373257597,0.013795475366883856,99.3386642377659
0.75,0.75,0.8,0.5964052131346421,68.88509639799128,19.845751324191134,10.672747064682946
0.75,1.0,0.0,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,1.0,0.2,0.5964052131346421,0.0,0.0,99.40359478686536
0.75,1.0,0.5,0.5964052131346421,0.05113507373257597,0.871903864644505,98.48055584848828
0.75,1.0,0.8,0.5964052131346421,68.88509639799128,25.09208904605498,5.426409342819107
1.0,0.25,0.0,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.25,0.2,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.25,0.5,2.838715783167665,0.05113507373257597,0.0,97.11014914309975
1.0,0.25,0.8,2.838715783167665,70.89243881721413,0.19703892810426277,26.07180647151394
1.0,0.5,0.0,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.5,0.2,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.5,0.5,2.838715783167665,0.05113507373257597,0.0,97.11014914309975
1.0,0.5,0.8,2.838715783167665,70.89243881721413,6.717008378652576,19.55183702096563
1.0,0.75,0.0,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.75,0.2,2.838715783167665,0.0,0.0,97.16128421683234
1.0,0.75,0.5,2.838715783167665,0.05113507373257597,0.007042713672896904,97.10310642942686
1.0,0.75,0.8,2.838715783167665,70.89243881721413,16.001573175498784,10.267272224119418
1.0,1.0,0.0,2.838715783167665,0.0,0.0,97.16128421683234
1.0,1.0,0.2,2.838715783167665,0.0,0.0,97.16128421683234
1.0,1.0,0.5,2.838715783167665,0.05113507373257597,0.11993796876611373,96.99021117433367
1.0,1.0,0.8,2.838715783167665,70.89243881721413,21.04317147776272,5.225673921855483
