draw,rho,cand_set,cov_eucl,cov_M,gap
0,0.0,605,99.99999999999996,89.94030502808056,10.059694971919399
0,0.0,511,99.99999999999996,89.87301462198742,10.126985378012535
0,0.2,605,99.99999999999996,86.22630594456147,13.773694055438483
0,0.2,511,99.99999999999996,86.04497315374135,13.955026846258605
0,0.5,605,99.68774212156532,48.744006158590444,50.94373596297488
0,0.5,511,99.64670841569479,46.81086095421742,52.83584746147737
0,0.8,605,11.166433177945965,0.6625073497746217,10.503925828171344
0,0.8,511,8.985531819887445,0.5852059577738008,8.400325862113645
1,0.0,605,99.99999999999996,90.04676946147086,9.953230538529098
1,0.0,511,99.99999999999996,89.9914803615027,10.008519638497262
1,0.2,605,99.99999999999996,86.32871783449141,13.671282165508543
1,0.2,511,99.99999999999996,86.01748362268386,13.982516377316102
1,0.5,605,99.68774212156532,48.13202210575654,51.55572001580878
1,0.5,511,99.64670841569479,46.540988836389396,53.10571957930539
1,0.8,605,11.166433177945965,0.6529101607135173,10.513523017232448
1,0.8,511,8.985531819887445,0.5715888415539108,8.413942978333534
2,0.0,605,99.99999999999996,90.13523656656432,9.864763433435641
2,0.0,511,99.99999999999996,90.0219155967066,9.978084403293352
2,0.2,605,99.99999999999996,86.41427514562773,13.58572485437223
2,0.2,511,99.99999999999996,86.03080093751726,13.969199062482701
2,0.5,605,99.68774212156532,48.2172271328215,51.47051498874382
2,0.5,511,99.64670841569479,46.30796267288466,53.338745742810126
2,0.8,605,11.166433177945965,0.6263442284458505,10.540088949500115
2,0.8,511,8.985531819887445,0.5400671082157417,8.445464711671704
3,0.0,605,99.99999999999996,90.25708678637037,9.742913213629592
3,0.0,511,99.99999999999996,90.19669785695514,9.803302143044817
3,0.2,605,99.99999999999996,86.51014945279512,13.489850547204838
3,0.2,511,99.99999999999996,86.02599617303666,13.974003826963298
3,0.5,605,99.68774212156532,48.68368403094166,51.00405809062366
3,0.5,511,99.64670841569479,46.493552710686714,53.153155705008075
3,0.8,605,11.166433177945965,0.6289357221978048,10.537497455748161
3,0.8,511,8.985531819887445,0.5550628223635202,8.430468997523924
4,0.0,605,99.99999999999996,90.18838163600185,9.811618363998107
4,0.0,511,99.99999999999996,90.12769969701107,9.87230030298889
4,0.2,605,99.99999999999996,86.3335074783476,13.666492521652359
4,0.2,511,99.99999999999996,86.0978024043715,13.90219759562845
4,0.5,605,99.68774212156532,48.52110753020587,51.166634591359454
4,0.5,511,99.64670841569479,46.85163754475689,52.7950708709379
4,0.8,605,11.166433177945965,0.6646393591245578,10.501793818821408
4,0.8,511,8.985531819887445,0.5808972602900834,8.404634559597362
5,0.0,605,99.99999999999996,90.08295893939503,9.91704106060493
5,0.0,511,99.99999999999996,90.0311020339556,9.968897966044352
5,0.2,605,99.99999999999996,86.3527877814235,13.647212218576456
5,0.2,511,99.99999999999996,85.94527457090233,14.05472542909763
5,0.5,605,99.68774212156532,48.584589820906025,51.103152300659296
5,0.5,511,99.64670841569479,46.52858096837121,53.11812744732358
5,0.8,605,11.166433177945965,0.6227355728562441,10.54369760508972
5,0.8,511,8.985531819887445,0.5497847014866941,8.435747118400752
6,0.0,605,99.99999999999996,90.01719642834495,9.982803571655012
6,0.0,511,99.99999999999996,89.9228318840343,10.077168115965662
6,0.2,605,99.99999999999996,86.24122482881153,13.758775171188432
6,0.2,511,99.99999999999996,85.93642654383581,14.06357345616415
6,0.5,605,99.68774212156532,48.39994757759399,51.28779454397133
6,0.5,511,99.64670841569479,46.82786607351872,52.81884234217607
6,0.8,605,11.166433177945965,0.6336196999680802,10.532813477977886
6,0.8,511,8.985531819887445,0.5715595113332104,8.413972308554234
7,0.0,605,99.99999999999996,90.18830601092442,9.811693989075536
7,0.0,511,99.99999999999996,90.17173674562024,9.82826325437972
7,0.2,605,99.99999999999996,86.35526098485587,13.644739015144083
7,0.2,511,99.99999999999996,86.11406025785479,13.885939742145169
7,0.5,605,99.68774212156532,48.45644579515402,51.231296326411304
7,0.5,511,99.64670841569479,46.826611126558156,52.82009728913663
7,0.8,605,11.166433177945965,0.6220780879771737,10.544355089968791
7,0.8,511,8.985531819887445,0.5444203388146884,8.441111481072756
8,0.0,605,99.99999999999996,90.1192567717143,9.880743228285652
8,0.0,511,99.99999999999996,90.06648620161295,9.933513798387011
8,0.2,605,99.99999999999996,86.37838653553793,13.62161346446203
8,0.2,511,99.99999999999996,86.10042178991525,13.899578210084712
8,0.5,605,99.68774212156532,48.509384534283534,51.17835758728179
8,0.5,511,99.64670841569479,46.86120754886137,52.78550086683342
8,0.8,605,11.166433177945965,0.629854269071602,10.536578908874363
8,0.8,511,8.985531819887445,0.5705025890118371,8.415029230875607
9,0.0,605,99.99999999999996,90.09421533729795,9.905784662702004
9,0.0,511,99.99999999999996,90.0598016271246,9.940198372875358
9,0.2,605,99.99999999999996,86.41902463335012,13.580975366649838
9,0.2,511,99.99999999999996,86.1320332855045,13.867966714495452
9,0.5,605,99.68774212156532,48.41147170665264,51.27627041491268
9,0.5,511,99.64670841569479,46.596898722895745,53.049809692799045
9,0.8,605,11.166433177945965,0.6811011073448383,10.485332070601126
9,0.8,511,8.985531819887445,0.61622625409457,8.369305565792875
