part,regime,rho,kperp,cand_set,blocked_pct,overrange_pct,terminal_pct,covered_pct,cov_eucl,cov_sigma,gap_pp
k03,High,0.0,0.3,511,0.2476695305453095,0.0,0.24541915703929448,99.50691131241541,99.99999999999996,99.44172256927783,0.5582774307221285
k03,High,0.2,0.3,511,0.2476695305453095,0.0,0.8643454375905898,98.8879850318641,99.99999999999996,98.5777338209833,1.4222661790166597
k03,High,0.5,0.3,511,0.2476695305453095,0.06534749449186548,4.2161369958647095,95.47084597909813,99.64670841569479,91.08407832162243,8.562630094072361
k03,High,0.8,0.3,511,0.2476695305453095,78.18769794945538,16.695344767502142,4.869287752497149,,,
k03,Medium,0.0,0.3,511,6.392644740119789,0.0,0.0,93.60735525988021,99.99999999999996,93.6073552598802,6.3926447401197635
k03,Medium,0.2,0.3,511,6.392644740119789,0.0,0.01027770881930965,93.5970775510609,99.99999999999996,93.58982774463308,6.410172255366874
k03,Medium,0.5,0.3,511,6.392644740119789,0.06634561604864167,0.4315869914420688,93.10942265238948,99.64670841569479,89.27764899329617,10.369059422398621
k03,Medium,0.8,0.3,511,6.392644740119789,76.96575113299589,12.107230268973337,4.534373857910983,,,
k03,Low,0.0,0.3,511,18.334125486576887,0.0,0.0,81.6658745134231,99.99999999999996,81.6275783044571,18.372421695542855
k03,Low,0.2,0.3,511,18.334125486576887,0.009147128702723707,0.030582180812939067,81.62614520390746,99.99999999999996,81.13111902431464,18.868880975685315
k03,Low,0.5,0.3,511,18.334125486576887,3.3230316661427746,3.873952019999812,74.46889082728052,99.64670841569479,60.226674707951474,39.420033707743315
k03,Low,0.8,0.3,511,18.334125486576887,77.49553260733961,1.915356921108149,2.2549849849753634,,,
