rho,cand_set,config,cov_eucl,cov_M_tot,gap_pp
0.0,511,headline_k03_tot,99.99999999999996,90.11607645004358,9.883923549956378
0.2,511,headline_k03_tot,99.99999999999996,90.11315097462082,9.886849025379135
0.5,511,headline_k03_tot,99.64670841569479,83.95437380627428,15.692334609420513
0.8,511,headline_k03_tot,8.985531819887445,0.9694384352110017,8.016093384676443
