scenario,rho,cand_set,cov_eucl,cov_M,gap_pp,reachable_share_pct,unreachable_share_pct,jaccard_vs_headline_K30,cross_river_service_pct
open_water_headline,0.0,511,99.99999999999996,97.16128421683231,2.8387157831676433,97.16128421683234,2.8387157831676575,,0.6615922735422742
open_water_headline,0.5,511,99.64670841569479,93.80321688806276,5.843491527632025,96.84812841830443,3.1518715816955734,1.0,0.6792296686661589
water_excluded,0.0,511,99.99999999999996,96.51847266757932,3.48152733242064,96.51847266757933,3.4815273324206686,,0.0
water_excluded,0.5,511,99.64670841569479,92.9564019604551,6.690306455239693,96.17174068492777,3.8282593150722306,0.4634146341463415,0.0
water_penalised,0.0,511,99.99999999999996,97.16128421683231,2.8387157831676433,97.16128421683234,2.8387157831676575,,0.6615922735422742
water_penalised,0.5,511,99.64670841569479,93.5409373467242,6.105771068970583,96.80253781163636,3.1974621883636445,0.42857142857142855,0.6010715659472071
