rep,held_city,model,r2_raw,spearman
0,zhengzhou,ridge,-0.20839875979880995,0.02899366984270813
0,zhengzhou,knn,-0.24160561665920333,0.02685257331521793
0,zhengzhou,rf,-0.26647400594838055,0.06542967835942141
0,guangzhou,ridge,-0.04893096825708221,0.011064756031198985
0,guangzhou,knn,-0.17829727084639124,-0.13541133833333557
0,guangzhou,rf,-0.3552839396720331,-0.1979394159259931
0,wuhan,ridge,-0.9609318611745508,0.10422903077308968
0,wuhan,knn,-1.2325052839974484,0.0708171909926229
0,wuhan,rf,-1.358273051790471,0.063649751603322
0,shanghai,ridge,-0.005994569584197862,0.06558621578400048
0,shanghai,knn,-0.0785107560863465,0.08040633139496653
0,shanghai,rf,-0.10116778150352057,0.012009476731126633
0,xiamen,ridge,-0.020059560127683174,0.0010844557083430192
0,xiamen,knn,-0.09324727188768156,0.028344357329594786
0,xiamen,rf,-0.11166403843468609,0.02638652212171751
0,beijing,ridge,-0.26604204371562856,-0.13899326479971644
0,beijing,knn,-0.30192704839448603,-0.12404550940287026
0,beijing,rf,-0.26214810525930266,-0.006541845251522671
1,zhengzhou,ridge,-0.24843977147115837,0.02365863102569144
1,zhengzhou,knn,-0.24207549547263785,0.06858057578820585
1,zhengzhou,rf,-0.30531953439811477,0.08910408709729005
1,guangzhou,ridge,-0.16557234580220204,-0.03021222564846726
1,guangzhou,knn,-0.17310010583839852,0.06004001458383647
1,guangzhou,rf,-0.47413222218167705,-0.05008525303827317
1,wuhan,ridge,-0.7593273606077258,0.12532623901107662
1,wuhan,knn,-0.8991519537878354,0.08038283645172901
1,wuhan,rf,-1.1318416108106657,0.06418046283966564
1,shanghai,ridge,0.013330715314429531,0.07905206254380893
1,shanghai,knn,-0.09802149756599254,0.0031010928171826676
1,shanghai,rf,-0.09162804557339155,0.01924589275566022
1,xiamen,ridge,-0.024042490899452762,0.042255126043680515
1,xiamen,knn,-0.09150169104202388,0.0405670633582906
1,xiamen,rf,-0.12767271462947782,0.0387000738129861
1,beijing,ridge,-0.2252452296326939,0.050014501627404846
1,beijing,knn,-0.24627261854069027,0.09683711195026826
1,beijing,rf,-0.22028930861676832,0.13701782088878864
2,zhengzhou,ridge,-0.2627292949413551,0.007922051430250852
2,zhengzhou,knn,-0.2198008965966931,0.082085086961264
2,zhengzhou,rf,-0.26010460052199047,0.09238970172737167
2,guangzhou,ridge,-0.08571981102452453,-0.05977507709051333
2,guangzhou,knn,-0.1428111200704636,-0.021663360841076243
2,guangzhou,rf,-0.2751735574825882,-0.04664248140758208
2,wuhan,ridge,-0.7608697979460988,0.10299371725592832
2,wuhan,knn,-0.8274837362520873,0.0500051223236525
2,wuhan,rf,-1.055673446111967,0.057701452659253194
2,shanghai,ridge,0.0017071977398606109,0.0923725201232158
2,shanghai,knn,-0.10992829240526825,0.002381577838687946
2,shanghai,rf,-0.05587827495135156,0.08271653074983987
2,xiamen,ridge,-0.020568811010170496,-0.012105601194710717
2,xiamen,knn,-0.09238555028180939,0.02567523547322922
2,xiamen,rf,-0.08276632826594432,0.024040371314822548
2,beijing,ridge,-0.21559996448026197,0.054422996358480226
2,beijing,knn,-0.2856523223997254,0.06210729762763258
2,beijing,rf,-0.2785859747768875,0.039979375463246425
3,zhengzhou,ridge,-0.2469737705712438,0.0389438556562825
3,zhengzhou,knn,-0.26609101384751255,0.040381754820218926
3,zhengzhou,rf,-0.33149047158468115,0.06265253613912333
3,guangzhou,ridge,-0.10191049036686373,-0.033379285325594046
3,guangzhou,knn,-0.16805905935488097,-0.05741711847845194
3,guangzhou,rf,-0.3412978584748587,-0.03381824777797932
3,wuhan,ridge,-0.8156797410805525,0.19830092967997923
3,wuhan,knn,-0.9962097622406634,0.05477886866590364
3,wuhan,rf,-1.0800921890695805,0.07469696185434528
3,shanghai,ridge,0.013433327136693207,0.20086423954856905
3,shanghai,knn,-0.03134139264778568,0.1452284856997203
3,shanghai,rf,-0.06372106004440181,0.09282107878775026
3,xiamen,ridge,-0.02276721184032482,0.025519859192998717
3,xiamen,knn,-0.10542995739192174,0.02822141537343703
3,xiamen,rf,-0.11363705442144556,0.03472583563033707
3,beijing,ridge,-0.21620095244227278,-0.03138474428797009
3,beijing,knn,-0.2775598314382801,0.06647712487283011
3,beijing,rf,-0.27553153648441553,-0.03097547613676646
4,zhengzhou,ridge,-0.26623358509260475,0.03575187117441029
4,zhengzhou,knn,-0.23685773669628807,0.09115258240928178
4,zhengzhou,rf,-0.34391305056919474,0.06904477287366811
4,guangzhou,ridge,-0.10556169779993363,-0.031140939597315436
4,guangzhou,knn,-0.1387543813187584,-0.10583004866704998
4,guangzhou,rf,-0.41655595236900456,-0.13130056230727372
4,wuhan,ridge,-0.7878786463909293,0.14506998687954162
4,wuhan,knn,-0.8808163204924984,0.075659326461249
4,wuhan,rf,-1.2268127259027182,0.07580206677208423
4,shanghai,ridge,-0.02279197673542055,0.09884233865108646
4,shanghai,knn,-0.06517480786428576,0.11018964466513541
4,shanghai,rf,-0.07365765815058989,0.059786343990821215
4,xiamen,ridge,-0.017983630545651552,0.03491981540327458
4,xiamen,knn,-0.08037832442036663,0.04051262855498736
4,xiamen,rf,-0.08562599291584183,0.04073869066902105
4,beijing,ridge,-0.23839346912105785,0.03001192356031066
4,beijing,knn,-0.3245711768559112,-0.07286429124449792
4,beijing,rf,-0.24063004761706863,0.033121716992684735
5,zhengzhou,ridge,-0.2567659631364312,0.022514457827442113
5,zhengzhou,knn,-0.2592546193865686,0.047215600878585166
5,zhengzhou,rf,-0.31522167126868683,0.06808326264965638
5,guangzhou,ridge,-0.06102352084181906,0.004026845637583892
5,guangzhou,knn,-0.1432609599797543,-0.026482906734864423
5,guangzhou,rf,-0.3181861921157203,-0.07574097587520406
5,wuhan,ridge,-0.8031359249706527,0.12534717737824852
5,wuhan,knn,-0.9868978613804824,0.035788224570133545
5,wuhan,rf,-1.0814726539630488,0.06957360776804751
5,shanghai,ridge,-0.009341342841624689,0.1544933517493489
5,shanghai,knn,-0.058657844392126623,0.07152137237916988
5,shanghai,rf,-0.052111693860153796,0.06530865462141563
5,xiamen,ridge,-0.03094317041162231,-0.005780953156243349
5,xiamen,knn,-0.09701267539074943,0.024100854941949513
5,xiamen,rf,-0.08259665513698677,0.017590470536893256
5,beijing,ridge,-0.21883320826314323,-0.02610292932873578
5,beijing,knn,-0.2861421954974539,0.043116595595221685
5,beijing,rf,-0.25354093622558804,0.11677677161548129
6,zhengzhou,ridge,-0.210341865799051,0.034538443283525316
6,zhengzhou,knn,-0.2566965346352257,0.0018306686084287496
6,zhengzhou,rf,-0.27881069977641704,0.06925966183833646
6,guangzhou,ridge,-0.046092023693798057,0.012512243787411574
6,guangzhou,knn,-0.18901308938016426,-0.05951574416449406
6,guangzhou,rf,-0.3845233330865392,-0.14364955559586431
6,wuhan,ridge,-0.7679140148030579,0.026539355003500152
6,wuhan,knn,-0.9959847054580815,0.031104893577558076
6,wuhan,rf,-1.1014698718740967,0.03551810045062463
6,shanghai,ridge,-0.010099860296816088,0.1759960811007883
6,shanghai,knn,-0.0830449308154324,0.01140729876298989
6,shanghai,rf,-0.11721187807237299,-0.016363717469176465
6,xiamen,ridge,-0.017103402244853294,-0.02602611276445638
6,xiamen,knn,-0.07481958562548341,0.024931938134983615
6,xiamen,rf,-0.08106860263542703,0.001994024737755253
6,beijing,ridge,-0.21880495542188694,-0.1176629821791112
6,beijing,knn,-0.26403982972906426,0.040838292767737386
6,beijing,rf,-0.2643900376052537,-0.05359801488833747
7,zhengzhou,ridge,-0.2842914201732558,0.0002704360049126896
7,zhengzhou,knn,-0.3332804257240074,0.020377778707521974
7,zhengzhou,rf,-0.2963677190010019,0.11324590249634274
7,guangzhou,ridge,-0.13107943429575575,-0.037173952475965895
7,guangzhou,knn,-0.18917566302286426,-0.09525122437874116
7,guangzhou,rf,-0.5039877869591254,-0.13583892617449664
7,wuhan,ridge,-0.8457552257665408,0.09693554480608813
7,wuhan,knn,-1.0827113716208387,0.02654910419807931
7,wuhan,rf,-1.0706365875109904,0.05082034362190804
7,shanghai,ridge,0.007359250726006739,0.188829980570783
7,shanghai,knn,-0.08265411195132333,0.06708901226816014
7,shanghai,rf,-0.0909094641660364,0.012049128325781613
7,xiamen,ridge,-0.023614105876847313,0.03449407811946701
7,xiamen,knn,-0.10235869769285899,0.031038341965888814
7,xiamen,rf,-0.11721253741191462,0.03494560875416583
7,beijing,ridge,-0.19508543140327683,0.019097032000257808
7,beijing,knn,-0.23452720445952435,0.12687675832864803
7,beijing,rf,-0.20977040608451447,0.10143727240501434
8,zhengzhou,ridge,-0.20806357958568733,0.01843327165076432
8,zhengzhou,knn,-0.2063192590873355,0.03760072142625438
8,zhengzhou,rf,-0.263961295043893,0.05774523425983331
8,guangzhou,ridge,-0.0872535597548958,-0.047542173045528754
8,guangzhou,knn,-0.13114061994148374,-0.055456295041439035
8,guangzhou,rf,-0.35805127666193504,-0.10211862869580993
8,wuhan,ridge,-0.6735038060582854,0.1807449579617597
8,wuhan,knn,-0.758401485584971,0.08363296270511347
8,wuhan,rf,-1.0906235190902644,0.10464923731660986
8,shanghai,ridge,0.00840990453942947,0.1884235517255695
8,shanghai,knn,-0.06279244414358431,0.05887237723426313
8,shanghai,rf,-0.06904675291603102,0.010218546372543434
8,xiamen,ridge,-0.023168639865135177,0.05068584703684993
8,xiamen,knn,-0.08558542022415372,0.03891811834822854
8,xiamen,rf,-0.08521328329158862,0.04261345859332717
8,beijing,ridge,-0.2895486621516341,-0.014817440623892236
8,beijing,knn,-0.3036232391977971,0.053578679385131
8,beijing,rf,-0.30386541438301684,0.025413296381038317
9,zhengzhou,ridge,-0.266630560794316,0.01234749768625913
9,zhengzhou,knn,-0.3050538453561793,0.048949270375447836
9,zhengzhou,rf,-0.33862570158954375,0.04776681816319379
9,guangzhou,ridge,-0.14325707529227127,-0.028728460003627786
9,guangzhou,knn,-0.18854680343032082,-0.08022325453170197
9,guangzhou,rf,-0.32398693402673495,-0.016125521494649013
9,wuhan,ridge,-0.6920294363462327,0.010524533659969873
9,wuhan,knn,-0.8211404077353757,0.01099463613930846
9,wuhan,rf,-0.9355641181546883,0.03950426867182717
9,shanghai,ridge,0.0021235435468841546,0.08431168135981411
9,shanghai,knn,-0.07527693015353765,0.09983651910484485
9,shanghai,rf,-0.1071990104981213,0.04964463283546054
9,xiamen,ridge,-0.0364978491746728,-0.004564304904815564
9,xiamen,knn,-0.0939706094164916,0.025651949759244192
9,xiamen,rf,-0.11184873396099948,0.017504457636974516
9,beijing,ridge,-0.24586870532587324,0.07042634784570267
9,beijing,knn,-0.2915247967130894,0.02665240135059464
9,beijing,rf,-0.24712978699138155,0.018852115626309174
10,zhengzhou,ridge,-0.16627566963011664,0.010921936246138034
10,zhengzhou,knn,-0.1817200867887887,0.04444235536850571
10,zhengzhou,rf,-0.2582604661195165,0.04595838535477151
10,guangzhou,ridge,-0.08152763806213481,-0.06276074732450572
10,guangzhou,knn,-0.17423635840274998,-0.2051739712473913
10,guangzhou,rf,-0.24229043323681032,-0.1340105205877018
10,wuhan,ridge,-0.6148979562102046,0.04646307316463727
10,wuhan,knn,-0.7235529697570389,0.0004915926709987875
10,wuhan,rf,-0.8331670441993131,0.04065421801227305
10,shanghai,ridge,0.004917498927914932,0.032569654634621664
10,shanghai,knn,-0.08307452428647388,0.00322087729875376
10,shanghai,rf,-0.06870304704818064,0.035546002458411
10,xiamen,ridge,-0.018714735754021605,0.018840783267586442
10,xiamen,knn,-0.08228919825872283,0.028835314227975518
10,xiamen,rf,-0.07533865813733764,0.028272691772262413
10,beijing,ridge,-0.22014296658197519,-0.039260739260739266
10,beijing,knn,-0.29141945520014123,-0.008082279409134141
10,beijing,rf,-0.2724761511564797,0.048287196674293445
11,zhengzhou,ridge,-0.24630959602008162,0.0123463981787678
11,zhengzhou,knn,-0.22407934009580566,0.05274009660542237
11,zhengzhou,rf,-0.2681038223468979,0.10614459765937294
11,guangzhou,ridge,-0.07888587076001996,0.0031489207328133503
11,guangzhou,knn,-0.14508607412119634,-0.1018830996278929
11,guangzhou,rf,-0.39877183742866906,-0.11509160166878289
11,wuhan,ridge,-0.5443426963487195,-0.08919310039665511
11,wuhan,knn,-0.7048958786743507,0.011366016820210179
11,wuhan,rf,-0.7300750222961634,0.023359677228653276
11,shanghai,ridge,0.015599055791287841,0.12469022191680063
11,shanghai,knn,-0.06809358264802934,0.03025588760402693
11,shanghai,rf,-0.05478014949780041,0.05992347242233635
11,xiamen,ridge,-0.0355994507103079,-0.04151180363283245
11,xiamen,knn,-0.08933209704393907,0.021796075445217056
11,xiamen,rf,-0.09012605746341373,0.007917093724434297
11,beijing,ridge,-0.2080712546936565,0.04536431310624859
11,beijing,knn,-0.31331868188544854,-0.027949559954899908
11,beijing,rf,-0.283885112132892,-0.023959911056685247
12,zhengzhou,ridge,-0.25031680853676574,0.028683194629929385
12,zhengzhou,knn,-0.21248574705732137,0.08167034267049872
12,zhengzhou,rf,-0.305513929965856,0.09937841485008848
12,guangzhou,ridge,-0.12013030970554417,-0.029432251042989303
12,guangzhou,knn,-0.1700736027223284,-0.07613668106954172
12,guangzhou,rf,-0.6057802361657376,-0.1341919100308362
12,wuhan,ridge,-0.5814304962772223,0.03404142968308928
12,wuhan,knn,-0.8684646050930507,0.04359589963794791
12,wuhan,rf,-0.8392965156050005,0.06551418179105885
12,shanghai,ridge,0.023761062708993252,0.20875490688490977
12,shanghai,knn,-0.05887676008467779,0.1465522439968924
12,shanghai,rf,-0.06264075453509421,0.09239234592054328
12,xiamen,ridge,-0.021901741849308376,0.019471792925940447
12,xiamen,knn,-0.09625879690690109,0.03916508571194152
12,xiamen,rf,-0.11005469772144472,0.03904200435569793
12,beijing,ridge,-0.2205127488415095,-0.017485740066385227
12,beijing,knn,-0.26573268205381306,0.10793783278573042
12,beijing,rf,-0.23437087657332611,0.09111211369275884
13,zhengzhou,ridge,-0.2578623164294467,0.03834121131648973
13,zhengzhou,knn,-0.22512856772819112,0.07865652777706003
13,zhengzhou,rf,-0.28091027052954676,0.07730981303098615
13,guangzhou,ridge,-0.08847990932521776,-0.03976056593506259
13,guangzhou,knn,-0.10052931867255754,-0.04220229749181381
13,guangzhou,rf,-0.3452829623519984,-0.0691238889896608
13,wuhan,ridge,-0.6929068882619844,0.1639379535396372
13,wuhan,knn,-0.8841469973894116,0.04571163461329262
13,wuhan,rf,-1.0078187094712425,0.059224894616794255
13,shanghai,ridge,0.0035357988626876224,0.15411253122568336
13,shanghai,knn,-0.10677607887477536,-0.006456206958806144
13,shanghai,rf,-0.10268109012112547,-0.022726146261523233
13,xiamen,ridge,-0.02944046641470477,-0.008452209703157935
13,xiamen,knn,-0.09322587853909292,0.022540367512459338
13,xiamen,rf,-0.1074434187588007,0.02023470007836206
13,beijing,ridge,-0.1987806392192084,-0.039682897747413876
13,beijing,knn,-0.2557598963986336,0.0859964003681313
13,beijing,rf,-0.24966798712453842,0.04801005446166736
14,zhengzhou,ridge,-0.22281389298872334,0.03454024247760203
14,zhengzhou,knn,-0.2989400019341151,0.008586269146171357
14,zhengzhou,rf,-0.4101333633791844,0.0280066264604497
14,guangzhou,ridge,-0.09817080172333204,-0.021371304190096137
14,guangzhou,knn,-0.22176026400185678,-0.13075856364613153
14,guangzhou,rf,-0.4164453906110688,-0.09826228913477236
14,wuhan,ridge,-0.6908990460118589,0.1377414799099481
14,wuhan,knn,-0.8180400798632206,0.04084650636096392
14,wuhan,rf,-1.046890745809549,0.055116372100283105
14,shanghai,ridge,0.015038758903852867,0.14556348220309226
14,shanghai,knn,-0.05324294009641495,0.039284955326887354
14,shanghai,rf,-0.01117162908440017,0.15360036479472322
14,xiamen,ridge,-0.03980652658091488,-0.03364722174156486
14,xiamen,knn,-0.09000381322939077,0.021952448834835624
14,xiamen,rf,-0.09898867494570163,0.02581453058145248
14,beijing,ridge,-0.239929249799953,0.022245496439044825
14,beijing,knn,-0.2825597322169442,0.08828289843141966
14,beijing,rf,-0.27749958072786707,0.09232380522703103
15,zhengzhou,ridge,-0.2715220355958008,0.03945875358653999
15,zhengzhou,knn,-0.28118718085701855,0.05224839816884608
15,zhengzhou,rf,-0.3209547626174396,0.051542898545644686
15,guangzhou,ridge,-0.15228558767630518,-0.0673136223471794
15,guangzhou,knn,-0.20740369587767193,-0.06974080285025684
15,guangzhou,rf,-0.30257190094184594,-0.054188282241973515
15,wuhan,ridge,-0.7472226390993397,0.12536270603349514
15,wuhan,knn,-1.0108852879843573,0.05515981512715871
15,wuhan,rf,-1.1476531843845437,0.06699236772241686
15,shanghai,ridge,0.008001215905109604,0.11693668301197503
15,shanghai,knn,-0.05939378480014201,0.05800424314515747
15,shanghai,rf,-0.05578163091223831,0.07903719319581333
15,xiamen,ridge,-0.01545575451619352,0.07544754324518228
15,xiamen,knn,-0.11001735848359906,0.04195559740860824
15,xiamen,rf,-0.08798049830876864,0.0501880610374928
15,beijing,ridge,-0.21660633313138566,0.004215139699010667
15,beijing,knn,-0.2882897253088048,0.023521677550991753
15,beijing,rf,-0.2599630052497619,-0.006528954916051691
