rho,beta_route,beta_term,cand_set,cov_eucl,cov_M,gap_pp
0.0,1.0,1.0,511,99.99999999999996,97.16128421683231,2.8387157831676433
0.0,1.0,0.5,511,99.99999999999996,97.16128421683231,2.8387157831676433
0.0,1.0,0.25,511,99.99999999999996,97.16128421683231,2.8387157831676433
0.0,0.5,1.0,511,99.99999999999996,99.90949945781763,0.09050054218232617
0.0,0.5,0.5,511,99.99999999999996,99.97225895957305,0.027741040426903396
0.0,0.25,1.0,511,99.99999999999996,99.91946541226176,0.08053458773819955
0.2,1.0,1.0,511,99.99999999999996,97.16128421683231,2.8387157831676433
0.2,1.0,0.5,511,99.99999999999996,97.16128421683231,2.8387157831676433
0.2,1.0,0.25,511,99.99999999999996,97.16128421683231,2.8387157831676433
0.2,0.5,1.0,511,99.99999999999996,99.74666093651088,0.2533390634890793
0.2,0.5,0.5,511,99.99999999999996,99.97225895957305,0.027741040426903396
0.2,0.25,1.0,511,99.99999999999996,99.74666093651088,0.2533390634890793
0.5,1.0,1.0,511,99.64670841569479,93.80321688806276,5.843491527632025
0.5,1.0,0.5,511,99.64670841569479,96.39242804886142,3.2542803668333704
0.5,1.0,0.25,511,99.64670841569479,96.5134909918965,3.1332174237982855
0.5,0.5,1.0,511,99.64670841569479,95.0188557254115,4.627852690283291
0.5,0.5,0.5,511,99.64670841569479,99.03218344127124,0.6145249744235457
0.5,0.25,1.0,511,99.64670841569479,95.0195917547815,4.627116660913288
