variant,rho,cand_set,cov_eucl,cov_M,terminal_pct,gap_pp
iid_headline,0.0,511,99.99999999999996,97.16128421683231,0.0,2.8387157831676433
iid_headline,0.5,511,99.64670841569479,93.80321688806276,0.24960604712506196,5.843491527632025
cc95,0.0,511,99.99999999999996,97.00307219511433,0.04407791923956359,2.9969278048856296
cc95,0.5,511,99.64670841569479,68.80317130502588,18.26483525474381,30.843537110668905
bias_med,0.0,511,99.99999999999996,47.011735129218785,47.440740320003975,52.98826487078117
bias_med,0.5,511,99.64670841569479,17.121864964210342,75.51775251358384,82.52484345148444
elliptical,0.0,511,99.99999999999996,97.16128421683231,0.0,2.8387157831676433
elliptical,0.5,511,99.64670841569479,95.81719455431926,0.00531263820253736,3.8295138613755313
bias_mix,0.0,511,99.99999999999996,-0.0,97.16128421683234,99.99999999999996
bias_mix,0.5,511,99.64670841569479,-0.0,97.0977344654295,99.64670841569479
