kperp,regime,rho,cand_set,ceiling_pct,cov_eucl,cov_sigma,gap_pp
1.0,High,0.0,605,99.9076718416813,99.99999999999996,99.90767184168125,0.09232815831870766
1.0,High,0.2,605,99.77667555586147,99.99999999999996,99.73051920233424,0.26948079766572164
1.0,High,0.5,605,98.51946335755144,99.68774212156532,95.01273682800698,4.675005293558343
1.0,High,0.8,605,5.362888109986592,,,
1.0,High,0.0,511,99.89180475292531,99.99999999999996,99.89180475292528,0.10819524707467565
1.0,High,0.2,511,99.77667555586147,99.99999999999996,99.71952302064749,0.2804769793524713
1.0,High,0.5,511,98.19447817597309,99.64670841569479,94.90312802347832,4.743580392216472
1.0,High,0.8,511,4.25879793799759,,,
1.0,Medium,0.0,605,96.0385874696604,99.99999999999996,95.40187070804852,4.598129291951437
1.0,Medium,0.2,605,95.90204364306013,99.99999999999996,91.39193702966278,8.608062970337173
1.0,Medium,0.5,605,86.54239161515049,99.68774212156532,50.3924828007362,49.295259320829125
1.0,Medium,0.8,605,1.2033056473330397,,,
1.0,Medium,0.0,511,96.00724973016416,99.99999999999996,95.33470808093416,4.665291919065794
1.0,Medium,0.2,511,95.70190740479183,99.99999999999996,90.99833026320229,9.001669736797666
1.0,Medium,0.5,511,78.46340253415926,99.64670841569479,48.46678476443296,51.17992365126183
1.0,Medium,0.8,511,0.9442304687693159,,,
1.0,Low,0.0,605,65.41870674022823,99.99999999999996,36.2538122926582,63.746187707341754
1.0,Low,0.2,605,54.38118963723089,99.99999999999996,24.24836555797179,75.75163444202816
1.0,Low,0.5,605,24.2526373260615,99.68774212156532,8.443529263890081,91.24421285767524
1.0,Low,0.8,605,0.25256640766878824,,,
1.0,Low,0.0,511,58.18489844041277,99.99999999999996,34.790023660477566,65.2099763395224
1.0,Low,0.2,511,46.77488617473638,99.99999999999996,23.407237551011526,76.59276244898842
1.0,Low,0.5,511,19.437131266555216,99.64670841569479,7.941783602588385,91.7049248131064
1.0,Low,0.8,511,0.17761042777350022,,,
