weight,rho,ablation,K,coverage_pct,cand_set
ev,0.5,A0,1,15.4826109633948,511
ev,0.5,A0,5,61.87642677844713,511
ev,0.5,A0,10,89.34997859500366,511
ev,0.5,A0,20,99.1043363441966,511
ev,0.5,A0,30,100.0,511
ev,0.5,A0,50,100.0,511
ev,0.5,A0,75,100.0,511
ev,0.5,A0,100,100.0,511
ev,0.5,A0,150,100.0,511
ev,0.5,A0,300,100.0,511
ev,0.5,A0,605,100.0,511
ev,0.5,Eucl,1,13.044778402518036,511
ev,0.5,Eucl,5,56.24707208331696,511
ev,0.5,Eucl,10,82.31129344603444,511
ev,0.5,Eucl,20,97.13305834375255,511
ev,0.5,Eucl,30,99.9857122977281,511
ev,0.5,Eucl,50,100.0,511
ev,0.5,Eucl,75,100.0,511
ev,0.5,Eucl,100,100.0,511
ev,0.5,Eucl,150,100.0,511
ev,0.5,Eucl,300,100.0,511
ev,0.5,Eucl,605,100.0,511
ev,0.5,energy,1,12.536901045179945,511
ev,0.5,energy,5,51.14248504040392,511
ev,0.5,energy,10,78.42493219980688,511
ev,0.5,energy,20,96.12431469487522,511
ev,0.5,energy,30,99.84336641635745,511
ev,0.5,energy,50,100.0,511
ev,0.5,energy,75,100.0,511
ev,0.5,energy,100,100.0,511
ev,0.5,energy,150,100.0,511
ev,0.5,energy,300,100.0,511
ev,0.5,energy,605,100.0,511
ev,0.5,High,1,11.493048953173517,511
ev,0.5,High,5,45.66514299918523,511
ev,0.5,High,10,69.9054780856391,511
ev,0.5,High,20,92.19312511884287,511
ev,0.5,High,30,98.26619529642467,511
ev,0.5,High,50,99.41446977752614,511
ev,0.5,High,75,99.41446977752614,511
ev,0.5,High,100,99.41446977752614,511
ev,0.5,High,150,99.41446977752614,511
ev,0.5,High,300,99.41446977752614,511
ev,0.5,High,605,99.41446977752614,511
ev,0.5,Medium,1,11.493048953173517,511
ev,0.5,Medium,5,45.33604781971788,511
ev,0.5,Medium,10,69.36966269337529,511
ev,0.5,Medium,20,91.40406153166293,511
ev,0.5,Medium,30,97.85094899024718,511
ev,0.5,Medium,50,99.28189689696602,511
ev,0.5,Medium,75,99.28189689696602,511
ev,0.5,Medium,100,99.28189689696602,511
ev,0.5,Medium,150,99.28189689696602,511
ev,0.5,Medium,300,99.28189689696602,511
ev,0.5,Medium,605,99.28189689696602,511
ev,0.5,Low,1,8.304501210471132,511
ev,0.5,Low,5,26.84005953032233,511
ev,0.5,Low,10,43.497448928103644,511
ev,0.5,Low,20,65.79524076106182,511
ev,0.5,Low,30,77.57499981410052,511
ev,0.5,Low,50,90.61340452043778,511
ev,0.5,Low,75,93.89192760755878,511
ev,0.5,Low,100,93.89192760755878,511
ev,0.5,Low,150,93.89192760755878,511
ev,0.5,Low,300,93.89192760755878,511
ev,0.5,Low,605,93.89192760755878,511
