theta_route,rho,cand_set,config,ceiling_pct,cov_eucl,cov_M,gap_pp
1.9,0.0,511,medium_k03_thetaterm1,57.233336299084534,99.99999999999996,57.19020025960228,42.80979974039768
1.9,0.2,511,medium_k03_thetaterm1,57.15226746197484,99.99999999999996,56.96655722098496,43.033442779015
1.9,0.5,511,medium_k03_thetaterm1,53.19957093008635,99.64670841569479,47.322433906106795,52.324274509587994
1.9,0.8,511,medium_k03_thetaterm1,2.657971084862105,,,
2.5,0.0,511,medium_k03_thetaterm1,24.867922424762227,99.99999999999996,24.494871603664848,75.50512839633511
2.5,0.2,511,medium_k03_thetaterm1,23.977929016985215,99.99999999999996,23.169397966368535,76.83060203363142
2.5,0.5,511,medium_k03_thetaterm1,19.016785093530366,99.64670841569479,15.543964091523879,84.10274432417091
2.5,0.8,511,medium_k03_thetaterm1,1.4409563901630364,,,
4.0,0.0,511,medium_k03_thetaterm1,1.6887293910561343,99.99999999999996,1.5020160009961239,98.49798399900384
4.0,0.2,511,medium_k03_thetaterm1,1.6591994189074275,99.99999999999996,1.4411759166526021,98.55882408334736
4.0,0.5,511,medium_k03_thetaterm1,1.3889734879929307,99.64670841569479,1.1396711600195415,98.50703725567524
4.0,0.8,511,medium_k03_thetaterm1,0.30360873653084075,,,
