weight,rho,ablation,K,coverage_pct,cand_set
ev,0.2,A0,1,31.941619067549496,511
ev,0.2,A0,5,89.26738611532778,511
ev,0.2,A0,10,99.11554342664779,511
ev,0.2,A0,20,100.0,511
ev,0.2,A0,30,100.0,511
ev,0.2,A0,50,100.0,511
ev,0.2,A0,75,100.0,511
ev,0.2,A0,100,100.0,511
ev,0.2,A0,150,100.0,511
ev,0.2,A0,300,100.0,511
ev,0.2,A0,605,100.0,511
ev,0.2,Eucl,1,33.33331562862172,511
ev,0.2,Eucl,5,90.20692204650886,511
ev,0.2,Eucl,10,99.11554342664779,511
ev,0.2,Eucl,20,100.0,511
ev,0.2,Eucl,30,100.0,511
ev,0.2,Eucl,50,100.0,511
ev,0.2,Eucl,75,100.0,511
ev,0.2,Eucl,100,100.0,511
ev,0.2,Eucl,150,100.0,511
ev,0.2,Eucl,300,100.0,511
ev,0.2,Eucl,605,100.0,511
ev,0.2,energy,1,31.16408124762978,511
ev,0.2,energy,5,86.88394242852696,511
ev,0.2,energy,10,98.63459493567348,511
ev,0.2,energy,20,100.0,511
ev,0.2,energy,30,100.0,511
ev,0.2,energy,50,100.0,511
ev,0.2,energy,75,100.0,511
ev,0.2,energy,100,100.0,511
ev,0.2,energy,150,100.0,511
ev,0.2,energy,300,100.0,511
ev,0.2,energy,605,100.0,511
ev,0.2,High,1,27.939787692180218,511
ev,0.2,High,5,83.06965706327699,511
ev,0.2,High,10,97.44956547326288,511
ev,0.2,High,20,99.6524211016084,511
ev,0.2,High,30,99.6524211016084,511
ev,0.2,High,50,99.6524211016084,511
ev,0.2,High,75,99.6524211016084,511
ev,0.2,High,100,99.6524211016084,511
ev,0.2,High,150,99.6524211016084,511
ev,0.2,High,300,99.6524211016084,511
ev,0.2,High,605,99.6524211016084,511
ev,0.2,Medium,1,27.482899904288328,511
ev,0.2,Medium,5,82.95184991220233,511
ev,0.2,Medium,10,97.3640517161708,511
ev,0.2,Medium,20,99.51984822104828,511
ev,0.2,Medium,30,99.51984822104828,511
ev,0.2,Medium,50,99.51984822104828,511
ev,0.2,Medium,75,99.51984822104828,511
ev,0.2,Medium,100,99.51984822104828,511
ev,0.2,Medium,150,99.51984822104828,511
ev,0.2,Medium,300,99.51984822104828,511
ev,0.2,Medium,605,99.51984822104828,511
ev,0.2,Low,1,12.997188137701581,511
ev,0.2,Low,5,53.89597490463357,511
ev,0.2,Low,10,80.4542639496308,511
ev,0.2,Low,20,93.47604393176321,511
ev,0.2,Low,30,96.43242979108086,511
ev,0.2,Low,50,96.4439555583411,511
ev,0.2,Low,75,96.4439555583411,511
ev,0.2,Low,100,96.4439555583411,511
ev,0.2,Low,150,96.4439555583411,511
ev,0.2,Low,300,96.4439555583411,511
ev,0.2,Low,605,96.4439555583411,511
