regime,rho,cand_set,blocked_pct,overrange_pct,terminal_pct,covered_pct
High,0.0,511,0.025139836287403922,0.0,0.05539475145079214,99.9194654122618
High,0.2,511,0.025139836287403922,0.0,0.1629029037584511,99.81195725995416
High,0.5,511,0.025139836287403922,0.06534749449186548,1.6573830620257137,98.25212960719502
High,0.8,511,0.025139836287403922,78.13867484563309,17.53438812660691,4.301797191472587
Medium,0.0,511,2.838715783167665,0.0,0.0,97.16128421683234
Medium,0.2,511,2.838715783167665,0.0,0.0,97.16128421683234
Medium,0.5,511,2.838715783167665,0.06354975140285103,0.24960604712506196,96.84812841830443
Medium,0.8,511,2.838715783167665,78.524794029858,14.505094106833667,4.13139608014068
Low,0.0,511,11.845635244372648,0.0,0.0,88.15436475562734
Low,0.2,511,11.845635244372648,0.0,0.0629338187302767,88.09143093689707
Low,0.5,511,11.845635244372648,4.028543111009284,4.362672502196394,79.76314914242167
Low,0.8,511,11.845635244372648,83.68545833414731,2.4634331537229546,2.0054732677571043
