kperp,regime,rho,cand_set,ceiling_pct,cov_eucl,cov_sigma,gap_pp
0.1,High,0.0,605,99.92800941292421,99.99999999999996,99.92800941292417,0.07199058707578843
0.1,High,0.2,605,99.81195725995416,99.99999999999996,99.75615391652114,0.24384608347881453
0.1,High,0.5,605,98.57930492100685,99.68774212156532,95.13320015364582,4.554541967919505
0.1,High,0.8,605,5.484114034274611,,,
0.1,High,0.0,511,99.9194654122618,99.99999999999996,99.91946541226176,0.08053458773819955
0.1,High,0.2,511,99.81195725995416,99.99999999999996,99.74666093651088,0.2533390634890793
0.1,High,0.5,511,98.25212960719502,99.64670841569479,95.0188557254115,4.627852690283291
0.1,High,0.8,511,4.301797191472587,,,
0.1,Medium,0.0,605,97.47064358943268,99.99999999999996,97.47064358943267,2.5293564105672885
0.1,Medium,0.2,605,97.47064358943268,99.99999999999996,97.47064358943267,2.5293564105672885
0.1,Medium,0.5,605,97.33080338953862,99.68774212156532,94.60361282995235,5.0841292916129674
0.1,Medium,0.8,605,5.429289455923636,,,
0.1,Medium,0.0,511,97.47064358943268,99.99999999999996,97.47064358943267,2.5293564105672885
0.1,Medium,0.2,511,97.47064358943268,99.99999999999996,97.47064358943267,2.5293564105672885
0.1,Medium,0.5,511,97.21388052038479,99.64670841569479,94.47923719409587,5.167471221598916
0.1,Medium,0.8,511,4.2738469061245485,,,
0.1,Low,0.0,605,90.16113316862005,99.99999999999996,90.16113316862001,9.838866831379946
0.1,Low,0.2,605,90.16113316862005,99.99999999999996,90.16005983377198,9.839940166227976
0.1,Low,0.5,605,90.08886451001109,99.68774212156532,87.89872385035075,11.789018271214573
0.1,Low,0.8,605,4.999063072282607,,,
0.1,Low,0.0,511,90.11607914396203,99.99999999999996,90.116079143962,9.88392085603796
0.1,Low,0.2,511,90.11607914396203,99.99999999999996,90.116079143962,9.88392085603796
0.1,Low,0.5,511,89.99639971912828,99.64670841569479,87.75503642971039,11.891671985984402
0.1,Low,0.8,511,3.9900478486678868,,,
