variant,rho,cand_set,cov_eucl,cov_M,gap_pp
removal,0.0,511,99.99999999999996,97.16128421683231,2.8387157831676433
removal,0.2,511,99.99999999999996,97.16128421683231,2.8387157831676433
removal,0.5,511,99.64670841569479,93.80321688806276,5.843491527632025
keep_at_vmin,0.0,511,99.99999999999996,99.8809101433472,0.11908985665276361
keep_at_vmin,0.2,511,99.99999999999996,99.52248978142406,0.47751021857590104
keep_at_vmin,0.5,511,99.64670841569479,93.85128806640282,5.795420349291973
