rho,theta_term,cand_set,config,cov_eucl,cov_M,gap_pp
0.0,1.0,511,envelope_m1_k1,99.99999999999996,91.05687183009456,8.943128169905393
0.0,0.5,511,envelope_m1_k1,99.99999999999996,91.45792053404443,8.542079465955524
0.0,0.25,511,envelope_m1_k1,99.99999999999996,91.50791063598633,8.492089364013623
0.2,1.0,511,envelope_m1_k1,99.99999999999996,86.92207344430436,13.077926555695598
0.2,0.5,511,envelope_m1_k1,99.99999999999996,89.00775811079257,10.992241889207392
0.2,0.25,511,envelope_m1_k1,99.99999999999996,89.28266496957283,10.717335030427122
0.5,1.0,511,envelope_m1_k1,99.64670841569479,46.82636008656761,52.82034832912718
0.5,0.5,511,envelope_m1_k1,99.64670841569479,57.287841361553845,42.358867054140944
0.5,0.25,511,envelope_m1_k1,99.64670841569479,58.81574519692404,40.83096321877075
