weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
uniform,High,0.0,10,511,17711.0,17711.0,0.0
uniform,High,0.0,20,511,17879.0,17879.0,0.0
uniform,High,0.0,30,511,17882.0,17882.0,0.0
uniform,High,0.0,50,511,17882.0,17882.0,0.0
uniform,High,0.0,75,511,17882.0,17882.0,0.0
uniform,High,0.0,100,511,17882.0,17882.0,0.0
uniform,High,0.0,150,511,17882.0,17882.0,0.0
uniform,High,0.0,300,511,17882.0,17882.0,0.0
uniform,High,0.0,605,511,17882.0,17882.0,0.0
uniform,High,0.2,1,511,7167.0,7167.0,0.0
uniform,High,0.2,5,511,15286.0,15286.0,0.0
uniform,High,0.2,10,511,17234.0,17234.0,0.0
uniform,High,0.2,20,511,17776.0,17776.833333333332,4.687968796872866e-05
uniform,High,0.2,30,511,17848.0,17848.0,0.0
uniform,High,0.2,50,511,17865.0,17865.0,0.0
uniform,High,0.2,75,511,17865.0,17865.0,0.0
uniform,High,0.2,100,511,17865.0,17865.0,0.0
uniform,High,0.2,150,511,17865.0,17865.0,0.0
uniform,High,0.2,300,511,17865.0,17865.0,0.0
uniform,High,0.2,605,511,17865.0,17865.0,0.0
uniform,High,0.5,1,511,2064.0,2064.0,0.0
uniform,High,0.5,5,511,8202.0,8202.0,0.0
uniform,High,0.5,10,511,12222.0,12253.666666666282,0.0025909561991721694
uniform,High,0.5,20,511,15623.0,15627.5,0.00028803686871919606
uniform,High,0.5,30,511,16580.0,16580.0,0.0
uniform,High,0.5,50,511,17345.0,17345.5,2.8826751225136928e-05
uniform,High,0.5,75,511,17546.0,17546.0,0.0
uniform,High,0.5,100,511,17595.0,17595.0,0.0
uniform,High,0.5,150,511,17605.0,17605.0,0.0
uniform,High,0.5,300,511,17605.0,17605.0,0.0
uniform,High,0.5,605,511,17605.0,17605.0,0.0
uniform,High,0.8,1,511,17.0,17.0,0.0
uniform,High,0.8,5,511,74.0,74.0,0.0
uniform,High,0.8,10,511,131.0,131.0,0.0
uniform,High,0.8,20,511,230.0,230.0,0.0
uniform,High,0.8,30,511,313.0,313.0,0.0
uniform,High,0.8,50,511,456.0,456.0,0.0
uniform,High,0.8,75,511,593.0,593.0,0.0
uniform,High,0.8,100,511,702.0,702.0,0.0
uniform,High,0.8,150,511,840.0,840.0,0.0
uniform,High,0.8,300,511,959.0,959.0,0.0
uniform,High,0.8,605,511,959.0,959.0,0.0
uniform,Medium,0.0,1,511,10242.0,10242.0,0.0
uniform,Medium,0.0,5,511,16669.0,16669.0,0.0
uniform,Medium,0.0,10,511,17374.0,17374.0,0.0
uniform,Medium,0.0,20,511,17482.0,17482.0,0.0
uniform,Medium,0.0,30,511,17482.0,17482.0,0.0
uniform,Medium,0.0,50,511,17482.0,17482.0,0.0
uniform,Medium,0.0,75,511,17482.0,17482.0,0.0
uniform,Medium,0.0,100,511,17482.0,17482.0,0.0
uniform,Medium,0.0,150,511,17482.0,17482.0,0.0
uniform,Medium,0.0,300,511,17482.0,17482.0,0.0
uniform,Medium,0.0,605,511,17482.0,17482.0,0.0
uniform,Medium,0.2,1,511,6792.0,6792.0,0.0
uniform,Medium,0.2,5,511,15024.0,15035.75,0.0007820820021299255
uniform,Medium,0.2,10,511,16971.0,16971.0,0.0
uniform,Medium,0.2,20,511,17457.0,17457.740740740748,4.243230456253374e-05
uniform,Medium,0.2,30,511,17482.0,17482.0,0.0
uniform,Medium,0.2,50,511,17482.0,17482.0,0.0
uniform,Medium,0.2,75,511,17482.0,17482.0,0.0
uniform,Medium,0.2,100,511,17482.0,17482.0,0.0
uniform,Medium,0.2,150,511,17482.0,17482.0,0.0
uniform,Medium,0.2,300,511,17482.0,17482.0,0.0
uniform,Medium,0.2,605,511,17482.0,17482.0,0.0
uniform,Medium,0.5,1,511,2010.0,2010.0,0.0
uniform,Medium,0.5,5,511,7993.0,7993.0,0.0
uniform,Medium,0.5,10,511,11934.0,12020.666666666639,0.007262164124906886
uniform,Medium,0.5,20,511,15444.0,15458.25,0.0009226884226884227
uniform,Medium,0.5,30,511,16420.0,16420.0,0.0
uniform,Medium,0.5,50,511,17184.0,17184.83333333333,4.849472377377111e-05
uniform,Medium,0.5,75,511,17364.0,17364.5,2.8795208477309375e-05
uniform,Medium,0.5,100,511,17400.0,17400.0,0.0
uniform,Medium,0.5,150,511,17402.0,17402.0,0.0
uniform,Medium,0.5,300,511,17402.0,17402.0,0.0
uniform,Medium,0.5,605,511,17402.0,17402.0,0.0
uniform,Medium,0.8,1,511,17.0,17.0,0.0
uniform,Medium,0.8,5,511,73.0,73.0,0.0
uniform,Medium,0.8,10,511,130.0,130.0,0.0
uniform,Medium,0.8,20,511,228.0,228.0,0.0
uniform,Medium,0.8,30,511,310.0,310.0,0.0
uniform,Medium,0.8,50,511,450.0,450.0,0.0
uniform,Medium,0.8,75,511,584.0,584.0,0.0
uniform,Medium,0.8,100,511,688.0,688.0,0.0
uniform,Medium,0.8,150,511,822.0,822.0,0.0
uniform,Medium,0.8,300,511,934.0,934.0,0.0
uniform,Medium,0.8,605,511,934.0,934.0,0.0
uniform,Low,0.0,1,511,3613.0,3613.0,0.0
uniform,Low,0.0,5,511,12298.0,12298.0,0.0
uniform,Low,0.0,10,511,15204.0,15204.0,0.0
uniform,Low,0.0,20,511,16101.0,16111.049999999967,0.0006241848332380927
uniform,Low,0.0,30,511,16193.0,16193.75,4.6316309516457727e-05
uniform,Low,0.0,50,511,16196.0,16196.0,0.0
uniform,Low,0.0,75,511,16196.0,16196.0,0.0
uniform,Low,0.0,100,511,16196.0,16196.0,0.0
uniform,Low,0.0,150,511,16196.0,16196.0,0.0
uniform,Low,0.0,300,511,16196.0,16196.0,0.0
uniform,Low,0.0,605,511,16196.0,16196.0,0.0
uniform,Low,0.2,1,511,1993.0,1993.0,0.0
uniform,Low,0.2,5,511,8528.0,8528.0,0.0
uniform,Low,0.2,10,511,12869.0,12890.583333333421,0.0016771569922621223
uniform,Low,0.2,20,511,15340.0,15366.331081081142,0.0017164981148071543
uniform,Low,0.2,30,511,15960.0,15974.52285714288,0.0009099534550676522
uniform,Low,0.2,50,511,16182.0,16182.0,0.0
uniform,Low,0.2,75,511,16186.0,16186.0,0.0
uniform,Low,0.2,100,511,16186.0,16186.0,0.0
uniform,Low,0.2,150,511,16186.0,16186.0,0.0
uniform,Low,0.2,300,511,16186.0,16186.0,0.0
uniform,Low,0.2,605,511,16186.0,16186.0,0.0
uniform,Low,0.5,1,511,676.0,676.0,0.0
uniform,Low,0.5,5,511,2993.0,2993.0,0.0
uniform,Low,0.5,10,511,5350.0,5350.5,9.345794392523364e-05
uniform,Low,0.5,20,511,8687.0,8703.0,0.001841832623460343
uniform,Low,0.5,30,511,10872.0,10883.0,0.0010117733627667404
uniform,Low,0.5,50,511,13053.0,13054.0,7.661074082586379e-05
uniform,Low,0.5,75,511,14265.0,14265.0,0.0
uniform,Low,0.5,100,511,14718.0,14718.0,0.0
uniform,Low,0.5,150,511,14884.0,14884.5,3.359312012899758e-05
uniform,Low,0.5,300,511,14889.0,14889.0,0.0
uniform,Low,0.5,605,511,14889.0,14889.0,0.0
uniform,Low,0.8,1,511,13.0,13.0,0.0
uniform,Low,0.8,5,511,52.0,52.0,0.0
uniform,Low,0.8,10,511,93.0,93.0,0.0
uniform,Low,0.8,20,511,160.0,160.0,0.0
uniform,Low,0.8,30,511,211.0,211.0,0.0
uniform,Low,0.8,50,511,288.0,288.0,0.0
uniform,Low,0.8,75,511,362.0,362.0,0.0
uniform,Low,0.8,100,511,412.0,412.0,0.0
uniform,Low,0.8,150,511,471.0,471.0,0.0
uniform,Low,0.8,300,511,493.0,493.0,0.0
uniform,Low,0.8,605,511,493.0,493.0,0.0
