rho,K,cand_set,policy,vstar_eucl_pct,reported_pct,redundant_pct,stage2_mipgap,stage2_status,realized_pct,best_pct,reporting_gap_pp,regret_pp
0.0,30,511,max_redundant_coverage,99.99999999999996,99.99999999999999,99.99999999999996,6.307193582624314e-16,2,95.83421628912585,97.16128421683231,4.165783710874138,1.3270679277064659
0.2,30,511,max_redundant_coverage,99.99999999999996,99.99999999999999,99.93756021541493,2.4688989275596923e-09,2,95.69796265258533,97.16128421683231,4.302037347414654,1.4633215642469821
0.5,30,511,max_redundant_coverage,99.64670841569479,99.64670841569483,37.66539184014777,0.0,2,81.35290515910218,93.80321688806276,18.293803256592653,12.450311728960585
0.8,30,511,max_redundant_coverage,8.985531819887445,8.985531819887445,0.06585962830617696,0.0,2,1.070448105684602,1.7772271125189167,7.915083714202843,0.7067790068343147
