weight,rho,ablation,K,coverage_pct,cand_set
pop,0.8,A0,1,8.757612057979808,511
pop,0.8,A0,5,30.714683381404846,511
pop,0.8,A0,10,51.52177640442666,511
pop,0.8,A0,20,75.61272164547883,511
pop,0.8,A0,30,86.23490524338514,511
pop,0.8,A0,50,94.32182696613812,511
pop,0.8,A0,75,97.51433593134068,511
pop,0.8,A0,100,98.34386782201912,511
pop,0.8,A0,150,98.54174928476883,511
pop,0.8,A0,300,98.54174928476883,511
pop,0.8,A0,605,98.54174928476883,511
pop,0.8,Eucl,1,0.40868375871532236,511
pop,0.8,Eucl,5,1.828679921015341,511
pop,0.8,Eucl,10,3.5058473422792424,511
pop,0.8,Eucl,20,6.495959823946499,511
pop,0.8,Eucl,30,8.985531819887445,511
pop,0.8,Eucl,50,12.871823986401767,511
pop,0.8,Eucl,75,16.151450732750455,511
pop,0.8,Eucl,100,18.15826404191117,511
pop,0.8,Eucl,150,20.387852926022777,511
pop,0.8,Eucl,300,21.845025741582827,511
pop,0.8,Eucl,605,21.84609141889649,511
pop,0.8,energy,1,0.40868375871532236,511
pop,0.8,energy,5,1.828679921015341,511
pop,0.8,energy,10,3.5058473422792424,511
pop,0.8,energy,20,6.495959823946499,511
pop,0.8,energy,30,8.985531819887445,511
pop,0.8,energy,50,12.871823986401767,511
pop,0.8,energy,75,16.151450732750455,511
pop,0.8,energy,100,18.15826404191117,511
pop,0.8,energy,150,20.387852926022777,511
pop,0.8,energy,300,21.845025741582827,511
pop,0.8,energy,605,21.84609141889649,511
pop,0.8,High,1,0.10726578844722913,511
pop,0.8,High,5,0.4583943603724069,511
pop,0.8,High,10,0.8156330961807394,511
pop,0.8,High,20,1.346951602752175,511
pop,0.8,High,30,1.8035059031287812,511
pop,0.8,High,50,2.5315960394480967,511
pop,0.8,High,75,3.119291388366851,511
pop,0.8,High,100,3.527490381210448,511
pop,0.8,High,150,4.016550346145916,511
pop,0.8,High,300,4.301797191472587,511
pop,0.8,High,605,4.301797191472587,511
pop,0.8,Medium,1,0.10726578844722913,511
pop,0.8,Medium,5,0.4583943603724069,511
pop,0.8,Medium,10,0.8156330961807394,511
pop,0.8,Medium,20,1.33152216583491,511
pop,0.8,Medium,30,1.7772271125189167,511
pop,0.8,Medium,50,2.473400177799069,511
pop,0.8,Medium,75,3.028966044591236,511
pop,0.8,Medium,100,3.4101041756159085,511
pop,0.8,Medium,150,3.867215225577428,511
pop,0.8,Medium,300,4.13139608014068,511
pop,0.8,Medium,605,4.13139608014068,511
pop,0.8,Low,1,0.07503342497761563,511
pop,0.8,Low,5,0.30572356559572356,511
pop,0.8,Low,10,0.5014147328555658,511
pop,0.8,Low,20,0.7896375693794377,511
pop,0.8,Low,30,1.0168231631074949,511
pop,0.8,Low,50,1.3294676949710262,511
pop,0.8,Low,75,1.5930924835307965,511
pop,0.8,Low,100,1.7864895067074678,511
pop,0.8,Low,150,1.980519748627526,511
pop,0.8,Low,300,2.0054732677571043,511
pop,0.8,Low,605,2.0054732677571043,511
