weight,rho,ablation,K,coverage_pct,cand_set
ev,0.0,A0,1,45.41301020110074,511
ev,0.0,A0,5,96.37639437882488,511
ev,0.0,A0,10,100.0,511
ev,0.0,A0,20,100.0,511
ev,0.0,A0,30,100.0,511
ev,0.0,A0,50,100.0,511
ev,0.0,A0,75,100.0,511
ev,0.0,A0,100,100.0,511
ev,0.0,A0,150,100.0,511
ev,0.0,A0,300,100.0,511
ev,0.0,A0,605,100.0,511
ev,0.0,Eucl,1,50.40308316929918,511
ev,0.0,Eucl,5,97.27975958418006,511
ev,0.0,Eucl,10,100.0,511
ev,0.0,Eucl,20,100.0,511
ev,0.0,Eucl,30,100.0,511
ev,0.0,Eucl,50,100.0,511
ev,0.0,Eucl,75,100.0,511
ev,0.0,Eucl,100,100.0,511
ev,0.0,Eucl,150,100.0,511
ev,0.0,Eucl,300,100.0,511
ev,0.0,Eucl,605,100.0,511
ev,0.0,energy,1,46.635963155786946,511
ev,0.0,energy,5,96.45590623868004,511
ev,0.0,energy,10,100.0,511
ev,0.0,energy,20,100.0,511
ev,0.0,energy,30,100.0,511
ev,0.0,energy,50,100.0,511
ev,0.0,energy,75,100.0,511
ev,0.0,energy,100,100.0,511
ev,0.0,energy,150,100.0,511
ev,0.0,energy,300,100.0,511
ev,0.0,energy,605,100.0,511
ev,0.0,High,1,44.55898802701172,511
ev,0.0,High,5,95.55296594640359,511
ev,0.0,High,10,99.6524211016084,511
ev,0.0,High,20,99.6524211016084,511
ev,0.0,High,30,99.6524211016084,511
ev,0.0,High,50,99.6524211016084,511
ev,0.0,High,75,99.6524211016084,511
ev,0.0,High,100,99.6524211016084,511
ev,0.0,High,150,99.6524211016084,511
ev,0.0,High,300,99.6524211016084,511
ev,0.0,High,605,99.6524211016084,511
ev,0.0,Medium,1,42.69733760087702,511
ev,0.0,Medium,5,95.09214771253356,511
ev,0.0,Medium,10,99.51214667149651,511
ev,0.0,Medium,20,99.51984822104828,511
ev,0.0,Medium,30,99.51984822104828,511
ev,0.0,Medium,50,99.51984822104828,511
ev,0.0,Medium,75,99.51984822104828,511
ev,0.0,Medium,100,99.51984822104828,511
ev,0.0,Medium,150,99.51984822104828,511
ev,0.0,Medium,300,99.51984822104828,511
ev,0.0,Medium,605,99.51984822104828,511
ev,0.0,Low,1,19.90919607507789,511
ev,0.0,Low,5,70.55437347097684,511
ev,0.0,Low,10,90.86272226937577,511
ev,0.0,Low,20,96.04735231349237,511
ev,0.0,Low,30,96.4439555583411,511
ev,0.0,Low,50,96.4439555583411,511
ev,0.0,Low,75,96.4439555583411,511
ev,0.0,Low,100,96.4439555583411,511
ev,0.0,Low,150,96.4439555583411,511
ev,0.0,Low,300,96.4439555583411,511
ev,0.0,Low,605,96.4439555583411,511
