rho,K,cand_set,policy,reported_pct,realized_pct,best_pct,ReportingGap_pp,Regret_pp,stage2_status
0.5,1,511,max_redundant_coverage,27.411011473425933,15.859502953347528,16.31350908442751,11.551508520078405,0.45400613107998034,2
0.5,5,511,max_redundant_coverage,75.06982550473532,53.884718025073134,56.822600965041225,21.185107479662186,2.937882939968091,2
0.5,10,511,max_redundant_coverage,92.70238285804504,70.31222767899443,78.85192362765771,22.39015517905061,8.53969594866328,2
0.5,20,511,max_redundant_coverage,98.1682053889378,82.11366032798098,91.18447670021737,16.054545060956826,9.070816372236393,2
0.5,30,511,max_redundant_coverage,99.64670841569483,81.35290515910218,93.80321688806276,18.293803256592653,12.450311728960585,2
0.5,50,511,max_redundant_coverage,99.96282320915596,90.05951047379195,96.13692928156077,9.903312735364011,6.077418807768822,2
0.5,75,511,max_redundant_coverage,99.96282320915596,90.14482548339532,96.71686117327862,9.817997725760634,6.572035689883293,2
0.5,100,511,max_redundant_coverage,99.96282320915596,90.93219365218496,96.8474690879603,9.030629556970993,5.915275435775342,2
0.5,150,511,max_redundant_coverage,99.96282320915596,94.68240987597557,96.8481284183044,5.280413333180391,2.1657185423288325,2
0.5,300,511,max_redundant_coverage,99.96282320915596,93.14750434427528,96.8481284183044,6.81531886488068,3.700624074029122,2
0.5,511,511,max_redundant_coverage,99.96282320915596,96.77252331043314,96.8481284183044,3.190299898722813,0.07560510787125452,2
