weight,rho,ablation,K,coverage_pct,cand_set
uniform,0.8,A0,1,5.698642382255992,511
uniform,0.8,A0,5,21.431364880719592,511
uniform,0.8,A0,10,37.923906363483994,511
uniform,0.8,A0,20,61.15425442762165,511
uniform,0.8,A0,30,74.46784736577463,511
uniform,0.8,A0,50,88.03285099726241,511
uniform,0.8,A0,75,94.48572545952288,511
uniform,0.8,A0,100,96.75400860383262,511
uniform,0.8,A0,150,97.37415498072518,511
uniform,0.8,A0,300,97.37415498072518,511
uniform,0.8,A0,605,97.37415498072518,511
uniform,0.8,Eucl,1,0.2849321191127996,511
uniform,0.8,Eucl,5,1.3073356053410805,511
uniform,0.8,Eucl,10,2.419129560310632,511
uniform,0.8,Eucl,20,4.469523437063523,511
uniform,0.8,Eucl,30,6.290854237666909,511
uniform,0.8,Eucl,50,9.447455165093022,511
uniform,0.8,Eucl,75,12.710207274149393,511
uniform,0.8,Eucl,100,15.229901111793955,511
uniform,0.8,Eucl,150,18.632325828258562,511
uniform,0.8,Eucl,300,21.73305771272138,511
uniform,0.8,Eucl,605,21.760992234203027,511
uniform,0.8,energy,1,0.2849321191127996,511
uniform,0.8,energy,5,1.3073356053410805,511
uniform,0.8,energy,10,2.419129560310632,511
uniform,0.8,energy,20,4.469523437063523,511
uniform,0.8,energy,30,6.290854237666909,511
uniform,0.8,energy,50,9.447455165093022,511
uniform,0.8,energy,75,12.710207274149393,511
uniform,0.8,energy,100,15.229901111793955,511
uniform,0.8,energy,150,18.632325828258562,511
uniform,0.8,energy,300,21.73305771272138,511
uniform,0.8,energy,605,21.760992234203027,511
uniform,0.8,High,1,0.09497737303759987,511
uniform,0.8,High,5,0.4134309179283759,511
uniform,0.8,High,10,0.7318844628191519,511
uniform,0.8,High,20,1.2849879881557629,511
uniform,0.8,High,30,1.7487010447511033,511
uniform,0.8,High,50,2.5476283591262083,511
uniform,0.8,High,75,3.3130342477233365,511
uniform,0.8,High,100,3.9220068160232415,511
uniform,0.8,High,150,4.6929996089167,511
uniform,0.8,High,300,5.357841220179898,511
uniform,0.8,High,605,5.357841220179898,511
uniform,0.8,Medium,1,0.09497737303759987,511
uniform,0.8,Medium,5,0.4078440136320465,511
uniform,0.8,Medium,10,0.7262975585228225,511
uniform,0.8,Medium,20,1.2738141795631042,511
uniform,0.8,Medium,30,1.7319403318621152,511
uniform,0.8,Medium,50,2.5141069333482315,511
uniform,0.8,Medium,75,3.262752109056372,511
uniform,0.8,Medium,100,3.84379015587463,511
uniform,0.8,Medium,150,4.59243533158277,511
uniform,0.8,Medium,300,5.218168612771663,511
uniform,0.8,Medium,605,5.218168612771663,511
uniform,0.8,Low,1,0.07262975585228225,511
uniform,0.8,Low,5,0.290519023409129,511
uniform,0.8,Low,10,0.5195820995586345,511
uniform,0.8,Low,20,0.8939046874127046,511
uniform,0.8,Low,30,1.1788368065255042,511
uniform,0.8,Low,50,1.6090284373428683,511
uniform,0.8,Low,75,2.022459355271244,511
uniform,0.8,Low,100,2.3018045700877146,511
uniform,0.8,Low,150,2.6314319235711494,511
uniform,0.8,Low,300,2.7543438180903963,511
uniform,0.8,Low,605,2.7543438180903963,511
